Date,Actual,Predicted
2023-10-11,1634.768798828125,1633.9322424316406
2023-10-12,1633.319580078125,1633.7897644042969
2023-10-13,1645.162109375,1643.6737867431639
2023-10-16,1640.51513671875,1642.6678125
2023-10-17,1656.3551025390625,1656.4060473632812
2023-10-18,1627.3734130859375,1626.4493322753906
2023-10-19,1633.4195556640625,1633.7645495605468
2023-10-20,1634.26904296875,1634.0586462402343
2023-10-23,1610.783935546875,1609.6531420898436
2023-10-24,1610.783935546875,1609.5276489257812
2023-10-25,1608.9349365234375,1609.3324560546876
2023-10-26,1558.01708984375,1559.010086303711
2023-10-27,1565.0126953125,1564.8319182128905
2023-10-30,1559.5162353515625,1559.6556795654292
2023-10-31,1566.711669921875,1566.3623349609375
2023-11-01,1572.5579833984375,1572.3123254394532
2023-11-02,1574.70654296875,1575.1014611816406
2023-11-03,1537.3302001953125,1537.9761279296874
2023-11-06,1563.2138671875,1563.6017395019528
2023-11-07,1568.7603759765625,1569.2194919433593
2023-11-08,1574.5067138671875,1575.4115844726562
2023-11-09,1582.052001953125,1582.325203369141
2023-11-10,1594.94384765625,1594.6278121337898
2023-11-13,1584.4005126953125,1583.466061401368
2023-11-14,1584.4005126953125,1583.5056235351572
2023-11-15,1593.0450439453125,1593.5618331298836
2023-11-16,1619.128662109375,1619.2092764282224
2023-11-17,1614.231689453125,1614.2437287597652
2023-11-20,1597.34228515625,1596.9233691406255
2023-11-21,1609.0849609375,1609.2828729248047
2023-11-22,1620.9774169921875,1620.8674688720698
2023-11-23,1622.9761962890625,1622.5804491577144
2023-11-24,1615.9805908203125,1615.7468428955076
2023-11-27,1615.9805908203125,1615.8440642089843
2023-11-28,1594.95634765625,1594.6658988037118
2023-11-29,1652.957275390625,1651.2600286865231
2023-11-30,1603.928192138672,1603.5335157470702
2023-12-01,1611.25107421875,1611.7554288330075
2023-12-04,1617.7669616699218,1617.303697753906
2023-12-05,1692.1824951171875,1693.4310263671882
2023-12-06,1699.0281982421875,1699.191680847168
2023-12-07,1702.7757568359375,1703.5422397460934
2023-12-08,1709.1717529296875,1709.2788201904298
2023-12-11,1701.8763427734375,1703.1014633789061
2023-12-12,1704.7745361328125,1704.745357910156
2023-12-13,1682.83837890625,1682.4231584472657
2023-12-14,1729.858642578125,1729.8156713867188
2023-12-15,1732.00732421875,1731.0879516601562
2023-12-18,1722.76318359375,1722.5619763183595
2023-12-19,1709.0718994140625,1709.3516485595703
2023-12-20,1679.5904541015625,1679.3584645385743
2023-12-21,1667.34814453125,1666.238772949219
2023-12-22,1670.396240234375,1671.1315451049811
2023-12-25,1670.396240234375,1671.3191552124026
2023-12-26,1646.611328125,1648.4408131103514
2023-12-27,1668.447509765625,1668.2533618774419
2023-12-28,1679.0908203125,1679.2435927124025
2023-12-29,1684.3375244140625,1685.5139288940431
2024-01-01,1673.1944580078125,1673.5900651855472
2024-01-02,1685.53662109375,1685.8121333007812
2024-01-03,1676.142578125,1676.0046752929688
2024-01-04,1700.4273681640625,1699.7213856811525
2024-01-05,1708.17236328125,1708.4199285888672
2024-01-08,1695.6302490234375,1695.4312786865244
2024-01-09,1680.7896728515625,1681.5323076171876
2024-01-10,1670.8958740234375,1671.2390332031252
2024-01-11,1668.1976318359375,1668.0351810913091
2024-01-12,1650.6087646484375,1651.1875876464837
2024-01-15,1675.8103332519531,1675.6132666015626
2024-01-16,1671.4880615234374,1671.4610274047855
2024-01-17,1666.706072998047,1665.6542207641605
2024-01-18,1662.536199951172,1663.0447883300785
2024-01-19,1599.39111328125,1600.3858559570313
2024-01-22,1599.39111328125,1600.2338342285157
2024-01-23,1583.0013427734375,1583.2023570556642
2024-01-24,1619.6282958984375,1619.673309448242
2024-01-25,1629.1722412109375,1629.3859814453126
2024-01-26,1629.1722412109375,1629.2685510253907
2024-01-29,1635.968017578125,1635.796064453125
2024-01-30,1589.9468994140625,1589.8591593017577
2024-01-31,1626.124267578125,1626.0878552246095
2024-02-01,1620.7275390625,1621.045180236816
2024-02-02,1651.1083984375,1650.6083305053708
2024-02-05,1613.482177734375,1613.5827324218749
2024-02-06,1596.0931396484375,1596.6320275878916
2024-02-07,1595.893310546875,1596.5288110351569
2024-02-08,1569.709716796875,1569.3993310546875
2024-02-09,1570.1595458984375,1569.9493334960937
2024-02-12,1556.3681640625,1556.6482224121096
2024-02-13,1567.2113037109375,1566.1216889648435
2024-02-14,1578.25439453125,1575.2363424072266
2024-02-15,1568.46044921875,1568.894283203125
2024-02-16,1574.5567626953125,1574.8674276123047
2024-02-19,1619.128662109375,1619.2770714721678
2024-02-20,1602.4891357421875,1602.3359423828124
2024-02-21,1585.4498291015625,1584.5201953125004
2024-02-22,1592.7452392578125,1593.9260858154303
2024-02-23,1615.580810546875,1615.2106848754877
2024-02-26,1612.6326904296875,1613.043431396484
2024-02-27,1598.6416015625,1597.692282470704
2024-02-28,1583.101318359375,1583.1884125976565
2024-02-29,1593.14501953125,1593.681163452149
2024-03-01,1612.5328369140625,1612.7582117919922
2024-03-04,1618.379150390625,1617.9916701049804
2024-03-05,1549.0728759765625,1549.9543889160157
2024-03-06,1550.621826171875,1550.1631725463865
2024-03-07,1581.602294921875,1582.1844030761722
2024-03-08,1581.602294921875,1582.3138411865239
2024-03-11,1598.891357421875,1598.6845427246094
2024-03-12,1592.0955810546875,1593.6459530029301
2024-03-13,1571.0589599609375,1570.8592993164064
2024-03-14,1563.2138671875,1563.531684814453
2024-03-15,1570.9090576171875,1571.0318688964844
2024-03-18,1575.9058837890625,1575.4165938720703
