Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-01 00:00:00+05:30,1578.7966363014027,1582.6240220863758,1550.18690419822,1556.071533203125,19571,0.0,0.0
2018-01-02 00:00:00+05:30,1559.5641853843865,1575.926237716009,1558.2245768794903,1572.7208251953125,18888,0.0,0.0
2018-01-03 00:00:00+05:30,1576.8831591792934,1578.7489632837544,1556.7893810586836,1559.947021484375,918082,0.0,0.0
2018-01-04 00:00:00+05:30,1568.2715649512957,1578.222792872817,1561.573638804463,1575.256591796875,11481,0.0,0.0
2018-01-05 00:00:00+05:30,1587.217096289116,1628.5528203308986,1576.3567945563796,1625.203857421875,165515,0.0,0.0
2018-01-08 00:00:00+05:30,1631.4233830798407,1647.6897745826896,1628.5528434028674,1644.0537109375,120332,0.0,0.0
2018-01-09 00:00:00+05:30,1647.6896840544755,1651.5649591264955,1632.6193515783675,1648.8857421875,19508,0.0,0.0
2018-01-10 00:00:00+05:30,1650.560151267969,1663.0948165924513,1638.7908930335614,1659.889404296875,24860,0.0,0.0
2018-01-11 00:00:00+05:30,1664.9130319079557,1674.481497608576,1614.2001636946673,1625.299560546875,154501,0.0,0.0
2018-01-12 00:00:00+05:30,1642.905468334868,1645.536796254449,1615.156919364739,1631.9017333984375,78457,0.0,0.0
2018-01-15 00:00:00+05:30,1626.6391614629795,1636.207627118644,1602.76588637312,1608.9375,40777,0.0,0.0
2018-01-16 00:00:00+05:30,1612.2865019854712,1617.9319202194044,1589.2265225579422,1592.814697265625,22389,0.0,0.0
2018-01-17 00:00:00+05:30,1588.3652906584753,1607.5022218712281,1575.8783963211306,1585.4947509765625,33379,0.0,0.0
2018-01-18 00:00:00+05:30,1596.4984915103896,1633.3370842123074,1596.0679572777544,1607.0238037109375,67859,0.0,0.0
2018-01-19 00:00:00+05:30,1612.2862602046152,1618.6970846666068,1599.9908067439792,1610.65966796875,27067,0.0,0.0
2018-01-22 00:00:00+05:30,1603.6748766386288,1622.8118083407605,1603.6748766386288,1610.372802734375,37061,0.0,0.0
2018-01-23 00:00:00+05:30,1613.243243143668,1655.3444902956974,1608.4590105127556,1648.5509033203125,55444,0.0,0.0
2018-01-24 00:00:00+05:30,1645.7760814647074,1663.9561660855384,1632.2366792944715,1644.0537109375,486107,0.0,0.0
2018-01-25 00:00:00+05:30,1637.1644573046199,1661.8511451702714,1627.5959917446862,1654.3876953125,64260,0.0,0.0
2018-01-29 00:00:00+05:30,1654.387789630794,1675.4384150627648,1648.6467099675292,1665.6307373046875,54899,0.0,0.0
2018-01-30 00:00:00+05:30,1665.8697356429439,1669.697121595024,1647.7853136588544,1661.7552490234375,19582,0.0,0.0
2018-01-31 00:00:00+05:30,1653.6221546197291,1683.6671595345163,1651.51713893886,1678.452392578125,38861,0.0,0.0
2018-02-01 00:00:00+05:30,1678.3088454987912,1736.0067390747613,1660.1287610834681,1719.4532470703125,373665,0.0,0.0
2018-02-02 00:00:00+05:30,1704.1437704054583,1704.1437704054583,1660.7985733198252,1679.83984375,29076,0.0,0.0
2018-02-05 00:00:00+05:30,1660.080846442727,1663.956121624116,1614.4872025671236,1640.274169921875,42383,0.0,0.0
2018-02-07 00:00:00+05:30,1614.343750215431,1642.235851718267,1587.4084953040986,1591.33154296875,32862,0.0,0.0
2018-02-08 00:00:00+05:30,1596.9769451417221,1636.2076549984092,1591.7621779915528,1597.694580078125,106402,0.0,0.0
2018-02-09 00:00:00+05:30,1588.3652091779074,1588.3652091779074,1567.8408982261176,1580.1363525390625,24825,0.0,0.0
2018-02-12 00:00:00+05:30,1576.8831247568837,1628.361516206014,1575.3999658736193,1613.673828125,27517,0.0,0.0
2018-02-14 00:00:00+05:30,1622.0461953510637,1634.3417667370827,1604.296762252773,1618.888671875,76108,0.0,0.0
2018-02-15 00:00:00+05:30,1619.941258353989,1628.6007666155353,1599.2733956067361,1613.4825439453125,66023,0.0,0.0
2018-02-16 00:00:00+05:30,1602.9092726176038,1621.8548807778004,1579.8015221830797,1587.312744140625,213564,0.0,0.0
2018-02-19 00:00:00+05:30,1586.4514864569055,1586.4514864569055,1546.7423569708008,1561.286376953125,202826,0.0,0.0
2018-02-20 00:00:00+05:30,1559.6599508374761,1577.2659515571356,1550.091484881418,1557.8419189453125,42365,0.0,0.0
2018-02-21 00:00:00+05:30,1557.841646077411,1563.4870633631597,1522.8210901728696,1526.4571533203125,34357,0.0,0.0
2018-02-22 00:00:00+05:30,1521.3859281093796,1559.564126646974,1517.6064311725181,1554.3492431640625,23797,0.0,0.0
2018-02-23 00:00:00+05:30,1554.9712590212046,1578.7967607715402,1551.6222961953254,1572.003173828125,26148,0.0,0.0
2018-02-26 00:00:00+05:30,1575.9263827778548,1626.8305762291307,1575.3522981664998,1618.266845703125,41078,0.0,0.0
2018-02-27 00:00:00+05:30,1636.2076124311725,1636.2076124311725,1607.3586653777954,1611.9036865234375,29305,0.0,0.0
2018-02-28 00:00:00+05:30,1607.502192920147,1614.0565683819589,1592.0013256380112,1607.358642578125,26426,0.0,0.0
2018-03-01 00:00:00+05:30,1602.7180971602731,1634.102713186886,1602.6224358582692,1624.0079345703125,27445,0.0,0.0
2018-03-07 00:00:00+05:30,1642.9053763186535,1642.9053763186535,1614.582744385609,1629.653076171875,18154,0.0,0.0
