Date,Actual,Predicted
2023-10-11,10312.4716796875,10299.572446289065
2023-10-12,10477.412109375,10455.01982421875
2023-10-13,10625.21484375,10498.930625
2023-10-16,10608.8701171875,10499.340291503906
2023-10-17,10641.4609375,10501.139295410156
2023-10-18,10690.943359375,10501.46473486328
2023-10-19,10669.3974609375,10504.713514160156
2023-10-20,10626.552734375,10499.83959814453
2023-10-23,10451.01171875,10472.855688964844
2023-10-24,10451.01171875,10470.510825683594
2023-10-25,10497.0263671875,10461.354438964845
2023-10-26,10328.81640625,10390.871711425785
2023-10-27,10454.0830078125,10466.547395019532
2023-10-30,10295.2333984375,10269.034500488282
2023-10-31,10293.796875,10261.310532714844
2023-11-01,10127.8662109375,10165.955623535156
2023-11-02,10210.5341796875,10197.450087890626
2023-11-03,10176.0107421875,10181.289695800782
2023-11-06,10185.373046875,10201.113904785156
2023-11-07,10154.0185546875,10165.570721191407
2023-11-08,10219.7470703125,10220.266482910156
2023-11-09,10303.7041015625,10250.647234863281
2023-11-10,10293.3525390625,10247.096287597657
2023-11-13,10297.21484375,10255.144246582031
2023-11-14,10297.21484375,10254.395828613282
2023-11-15,10362.201171875,10394.65671728516
2023-11-16,10378.744140625,10406.272818359377
2023-11-17,10425.5517578125,10436.184772460938
2023-11-20,10467.7041015625,10447.93513671875
2023-11-21,10432.1396484375,10435.878084472657
2023-11-22,10397.7158203125,10404.656132812503
2023-11-23,10395.734375,10399.995630859377
2023-11-24,10419.6083984375,10428.074955078126
2023-11-27,10419.6083984375,10429.720281738282
2023-11-28,10438.48046875,10436.837068847657
2023-11-29,10491.033203125,10462.743193359374
2023-11-30,10504.802734375,10464.925613769532
2023-12-01,10484.9404296875,10488.964373535155
2023-12-04,10504.654296875,10477.406676757813
2023-12-05,10407.61669921875,10456.389309082033
2023-12-06,10526.0029296875,10486.251051757812
2023-12-07,10592.5244140625,10499.69642578125
2023-12-08,10501.6337890625,10489.04020361328
2023-12-11,10439.66796875,10460.224660644533
2023-12-12,10452.26474609375,10438.575360839845
2023-12-13,10289.5380859375,10242.420073730469
2023-12-14,10259.2744140625,10246.446032226562
2023-12-15,10430.896826171876,10351.874475097657
2023-12-18,10224.3046875,10221.526062988281
2023-12-19,10139.4072265625,10170.976168945313
2023-12-20,10382.994580078124,10326.599683105473
2023-12-21,10359.22421875,10272.08590527344
2023-12-22,10119.248046875,10140.394736328126
2023-12-25,10119.248046875,10141.443271484375
2023-12-26,10177.4482421875,10170.369383300782
2023-12-27,10189.087890625,10190.112342285156
2023-12-28,10176.9521484375,10173.726141113282
2023-12-29,10202.95703125,10208.712119140626
2024-01-01,10185.4716796875,10195.268064941407
2024-01-02,10101.2177734375,10155.747020019531
2024-01-03,9981.103515625,10142.73048828125
2024-01-04,9922.01171875,9971.03248046875
2024-01-05,9924.9833984375,9944.849482421874
2024-01-08,9854.1533203125,9843.952379882812
2024-01-09,9929.1943359375,9907.87740234375
2024-01-10,9908.390625,9906.3136328125
2024-01-11,9914.333984375,9923.87814453125
2024-01-12,9869.0126953125,9847.219508789063
2024-01-15,9992.0009765625,10035.81703125
2024-01-16,10092.1044921875,10137.242265625
2024-01-17,9958.2197265625,10087.76001953125
2024-01-18,9958.2197265625,10085.68619140625
2024-01-19,9937.119140625,9997.390283203125
2024-01-22,9937.119140625,9984.915185546875
2024-01-23,9771.3359375,9824.365524414063
2024-01-24,9876.7392578125,9817.148698242188
2024-01-25,9794.2197265625,9816.790602539062
2024-01-26,9794.2197265625,9813.824655273438
2024-01-29,9899.9208984375,9836.612233398439
2024-01-30,9864.009765625,9815.423024414064
2024-01-31,9914.26259765625,9891.8795703125
2024-02-01,9944.756884765626,10122.11087890625
2024-02-02,9976.122900390625,10188.526199707032
2024-02-05,10327.7265625,10415.947211914063
2024-02-06,10040.6900390625,10213.461502441407
2024-02-07,10086.729833984376,10214.07719580078
2024-02-08,10648.9404296875,10494.07349609375
2024-02-09,10629.8701171875,10497.07912109375
2024-02-12,10609.1171875,10498.61561376953
2024-02-13,10690.6962890625,10501.65141455078
2024-02-14,10923.59375,10502.451873535156
2024-02-15,10983.9736328125,10505.39552734375
2024-02-16,11261.203125,10510.289736328124
2024-02-19,11376.2158203125,10508.811220703124
2024-02-20,11338.869140625,10509.44671875
2024-02-21,11362.2978515625,10517.34552734375
2024-02-22,11566.1708984375,10518.689833984376
2024-02-23,11431.09765625,10518.653671875
2024-02-26,11352.1435546875,10517.307890625
2024-02-27,11395.13671875,10517.307890625
2024-02-28,11046.185546875,10517.662060546874
2024-02-29,11163.8232421875,10518.253955078126
2024-03-01,11499.3515625,10519.417451171876
2024-03-04,11486.7216796875,10518.48130859375
2024-03-05,11559.8798828125,10519.514052734376
2024-03-06,11468.494140625,10518.388193359375
2024-03-07,11395.1875,10518.17818359375
2024-03-08,11395.1875,10518.17818359375
2024-03-11,11286.4140625,10517.050849609375
2024-03-12,11399.0009765625,10517.050849609375
2024-03-13,11284.13671875,10514.528701171876
2024-03-14,11290.328125,10520.243173828125
2024-03-15,11370.3212890625,10511.7351171875
2024-03-18,11526.5947265625,10511.83171875
2024-03-19,11488.6533203125,10506.64919921875
2024-03-20,11411.740283203126,10504.631795410156
2024-03-21,11423.543701171877,10503.919041503905
2024-03-22,11463.022998046876,10501.777771972655
2024-03-25,11506.45,10501.568260253905
2024-03-26,12141.185546875,10512.43303564453
2024-03-27,11611.596142578124,10506.83348486328
2024-03-28,11678.1544921875,10503.69565283203
2024-03-29,12494.990234375,10510.52353515625
2024-04-01,12452.591796875,10514.125009765625
2024-04-02,12433.818359375,10519.514052734376
2024-04-03,12312.416015625,10518.5189453125
2024-04-04,12459.0302734375,10519.723564453125
2024-04-05,12308.3056640625,10518.253955078126
2024-04-08,12728.8310546875,10519.477890625
2024-04-09,12770.4375,10518.48130859375
2024-04-10,12558.2431640625,10519.551689453125
2024-04-11,12558.2431640625,10517.392109375
2024-04-12,12159.66015625,10523.03228515625
2024-04-15,12310.1875,10517.968671875
2024-04-16,12386.3681640625,10518.350556640626
2024-04-17,12386.3681640625,10518.388193359375
2024-04-18,12280.220703125,10518.17818359375
2024-04-19,12591.6279296875,10519.63044921875
2024-04-22,12659.0400390625,10518.27478515625
2024-04-23,12481.0228515625,10518.27478515625
2024-04-24,12818.7802734375,10517.088486328124
2024-04-25,12785.2470703125,10518.140048828125
2024-04-26,12568.248046875,10519.63044921875
2024-04-29,12576.8671875,10518.27478515625
2024-04-30,12686.5302734375,10514.3380078125
2024-05-01,12686.5302734375,10514.87294921875
2024-05-02,12673.94921875,10515.426708984374
2024-05-03,12374.18359375,10512.04123046875
2024-05-06,12316.7265625,10500.422107910155
2024-05-07,12251.2939453125,10499.00698095703
2024-05-08,12423.912109375,10501.082850097655
2024-05-09,12399.146484375,10501.254725097655
2024-05-10,12557.5986328125,10501.254725097655
2024-05-13,12550.4658203125,10501.33200048828
2024-05-14,12694.5048828125,10499.916873535156
2024-05-15,12655.8701171875,10501.082850097655
2024-05-16,12377.7001953125,10500.948611816406
2024-05-17,12525.4521484375,10500.948611816406
2024-05-20,12525.4521484375,10501.02588720703
2024-05-21,12352.93359375,10502.47815283203
2024-05-22,12416.73046875,10501.082850097655
2024-05-23,12808.82421875,10502.47664892578
2024-05-24,12877.87109375,10501.33049658203
2024-05-27,12781.58203125,10499.99264501953
2024-05-28,12701.6376953125,10499.572625488281
2024-05-29,12666.9658203125,10501.082850097655
2024-05-30,12473.7421875,10499.83959814453
2024-05-31,12281.3603515625,10502.400877441405
2024-06-03,12355.955078125,10499.916873535156
2024-06-04,12521.740380859375,10502.47815283203
2024-06-05,12389.240234375,10501.082850097655
2024-06-06,12556.6572265625,10501.254725097655
2024-06-07,12693.8115234375,10505.076580566405
2024-06-10,12584.2470703125,10501.33200048828
2024-06-11,12739.826171875,10500.987752441406
2024-06-12,12729.9697265625,10499.66772314453
2024-06-13,12721.0537109375,10499.83959814453
2024-06-14,12730.861328125,10501.254725097655
2024-06-17,12730.861328125,10501.33200048828
2024-06-18,12442.3388671875,10501.02588720703
2024-06-19,12121.2734375,10502.229002441405
2024-06-20,12030.1845703125,10501.254725097655
2024-06-21,12084.322265625,10505.076580566405
2024-06-24,12062.9248046875,10501.33200048828
2024-06-25,12000.4658203125,10501.02588720703
2024-06-26,12082.4404296875,10501.082850097655
2024-06-27,12065.84765625,10505.076580566405
2024-06-28,11924.1865234375,10504.56045751953
2024-07-01,11993.18359375,10505.15385595703
2024-07-02,11926.5634765625,10501.33200048828
2024-07-03,12007.8447265625,10500.776736816406
2024-07-04,11972.232421875,10501.254725097655
2024-07-05,11993.134765625,10500.948611816406
2024-07-08,11913.388671875,10501.02588720703
2024-07-09,12700.1513671875,10506.146951660156
2024-07-10,12654.533203125,10505.89780126953
2024-07-11,12594.203125,10501.02438330078
2024-07-12,12439.8125,10503.910096191405
2024-07-15,12523.173828125,10501.407771972656
2024-07-16,12510.5439453125,10499.99264501953
2024-07-17,12510.5439453125,10499.743494628905
2024-07-18,12533.1806640625,10502.49399267578
2024-07-19,12404.2490234375,10505.15235205078
2024-07-22,12523.2734375,10501.34733251953
2024-07-23,12508.4140625,10501.407771972656
2024-07-24,12376.4609375,10499.743494628905
2024-07-25,12384.08984375,10500.29825048828
2024-07-26,12559.1845703125,10502.457830566405
2024-07-29,12644.279296875,10501.33200048828
2024-07-30,12753.943359375,10501.33200048828
2024-07-31,12477.171923828126,10504.38858251953
2024-08-01,12539.760302734376,10504.56045751953
2024-08-02,12730.9501953125,10504.56045751953
2024-08-05,12200.25,10504.637732910156
2024-08-06,12126.25,10501.33200048828
2024-08-07,12376.099609375,10501.082850097655
2024-08-08,12213.5498046875,10501.254725097655
2024-08-09,12226.4501953125,10502.400877441405
2024-08-12,12274.650390625,10501.33200048828
2024-08-13,12165.650390625,10501.02588720703
2024-08-14,12200.0498046875,10499.66772314453
2024-08-15,12200.0498046875,10499.83959814453
2024-08-16,12214.7001953125,10505.076580566405
2024-08-19,12144.2998046875,10501.33200048828
2024-08-20,12226.099609375,10499.916873535156
2024-08-21,12216.400390625,10501.082850097655
2024-08-22,12297.650390625,10501.254725097655
2024-08-23,12302.2998046875,10505.076580566405
2024-08-26,12246.5498046875,10499.916873535156
2024-08-27,12246.5498046875,10499.916873535156
2024-08-28,12357.4501953125,10500.12637548828
2024-08-29,12451.7001953125,10502.47664892578
2024-08-30,12421.25,10503.910096191405
2024-09-02,12431.150390625,10502.265154785155
2024-09-03,12407.599609375,10506.66307470703
2024-09-04,12335.75,10501.88475439453
2024-09-05,12298.150390625,10499.83959814453
2024-09-06,12184.099609375,10505.076580566405
2024-09-09,12149.75,10501.33200048828
2024-09-10,12265.2998046875,10501.02588720703
2024-09-11,12248.5,10501.082850097655
2024-09-12,12392.849609375,10501.254725097655
2024-09-13,12317.150390625,10501.254725097655
2024-09-16,12289.5498046875,10501.02588720703
2024-09-17,12247.599609375,10505.15385595703
2024-09-18,12200.2001953125,10499.66772314453
2024-09-19,12356.900390625,10501.254725097655
2024-09-20,12323.2375,10504.56045751953
2024-09-23,12345.02001953125,10501.33200048828
2024-09-24,12369.612548828123,10501.02588720703
2024-09-25,12390.5400390625,10501.082850097655
2024-09-26,12437.17001953125,10505.15235205078
2024-09-27,12490.975,10503.910096191405
2024-09-30,13228.2001953125,10501.397850097655
2024-10-01,13167.0,10501.397850097655
