Date,Actual,Predicted
2023-10-11,2448.10048828125,2448.285510620117
2023-10-12,2450.9933959960936,2451.047493286134
2023-10-13,2456.0148193359373,2455.802402954102
2023-10-16,2514.7822265625,2513.673649047851
2023-10-17,2514.33984375,2513.7390543212887
2023-10-18,2504.95068359375,2503.828717041016
2023-10-19,2504.901611328125,2503.9791705322264
2023-10-20,2452.942626953125,2452.860955932618
2023-10-23,2442.7177734375,2443.1822023925797
2023-10-24,2442.7177734375,2443.0931762695323
2023-10-25,2436.769775390625,2437.441953125
2023-10-26,2434.41015625,2435.110686035156
2023-10-27,2439.866455078125,2440.1877460937503
2023-10-30,2436.720703125,2437.542177734375
2023-10-31,2442.1279296875,2442.3933457031258
2023-11-01,2431.215087890625,2431.2249886474615
2023-11-02,2465.233642578125,2465.2644575195322
2023-11-03,2484.39697265625,2484.6182104492186
2023-11-06,2477.068359375,2478.570693359375
2023-11-07,2476.12744140625,2476.8519116210937
2023-11-08,2493.062744140625,2493.0224145507814
2023-11-09,2453.646484375,2453.250410522461
2023-11-10,2462.7578125,2462.7430295410163
2023-11-13,2458.94482421875,2459.1764487304686
2023-11-14,2458.94482421875,2459.2248640136713
2023-11-15,2464.243408203125,2464.860632080079
2023-11-16,2465.18408203125,2465.2625445556655
2023-11-17,2458.560095214844,2459.1959855957034
2023-11-20,2481.574462890625,2483.0274560546877
2023-11-21,2480.930908203125,2479.296875
2023-11-22,2497.37060546875,2495.7336474609374
2023-11-23,2496.132568359375,2495.6533325195314
2023-11-24,2490.685546875,2490.5236865234374
2023-11-27,2490.685546875,2490.5845751953125
2023-11-28,2487.021484375,2486.8793481445314
2023-11-29,2499.697998046875,2499.7511572265626
2023-11-30,2482.282556152344,2483.089609375
2023-12-01,2484.9886962890623,2485.16169921875
2023-12-04,2489.975109863281,2490.0377368164063
2023-12-05,2538.47021484375,2539.5067822265637
2023-12-06,2541.34228515625,2541.4755798339847
2023-12-07,2495.68701171875,2495.3195141601564
2023-12-08,2497.024169921875,2495.6384155273436
2023-12-11,2480.286865234375,2479.4082348632815
2023-12-12,2478.108154296875,2478.814013671875
2023-12-13,2487.61572265625,2487.394924316406
2023-12-14,2494.201416015625,2494.3068774414064
2023-12-15,2498.657958984375,2499.5206469726563
2023-12-18,2510.98779296875,2510.917079833984
2023-12-19,2536.78662109375,2536.021141479492
2023-12-20,2532.132080078125,2532.9056854248042
2023-12-21,2528.7646484375,2529.0855743408197
2023-12-22,2550.25537109375,2550.2247763671876
2023-12-25,2550.25537109375,2550.248020019531
2023-12-26,2560.802734375,2562.062438476564
2023-12-27,2584.075927734375,2585.4073852539063
2023-12-28,2529.4604736328124,2529.957359985351
2023-12-29,2534.4171875,2533.9794384765623
2024-01-01,2630.07763671875,2630.317870239258
2024-01-02,2588.284912109375,2588.6656103515625
2024-01-03,2580.1640625,2579.314978027344
2024-01-04,2567.1904296875,2568.4752294921873
2024-01-05,2595.019287109375,2595.1445043945314
2024-01-08,2553.96923828125,2554.5228564453123
2024-01-09,2556.197509765625,2555.6700048828125
2024-01-10,2552.3349609375,2551.767552001953
2024-01-11,2512.572509765625,2512.958817016601
2024-01-12,2520.693359375,2519.9623818359373
2024-01-15,2548.323974609375,2547.574030029296
2024-01-16,2543.2734375,2542.406647460938
2024-01-17,2539.064453125,2539.2935523681645
2024-01-18,2539.064453125,2539.241765991211
2024-01-19,2540.005126953125,2540.18985522461
2024-01-22,2540.005126953125,2540.2828669433597
2024-01-23,2554.432177734375,2554.893181152344
2024-01-24,2420.519287109375,2420.286270751953
2024-01-25,2406.654541015625,2407.0161992187504
2024-01-26,2406.654541015625,2406.901610839844
2024-01-29,2420.816162109375,2420.331842651367
2024-01-30,2435.225830078125,2435.1126000976565
2024-01-31,2456.468994140625,2457.022265258789
2024-02-01,2450.328857421875,2450.471822021485
2024-02-02,2430.373291015625,2430.7208165283205
2024-02-05,2396.7509765625,2396.366452636719
2024-02-06,2402.841552734375,2403.0728353271484
2024-02-07,2402.593994140625,2403.095951416016
2024-02-08,2394.572021484375,2393.754660644531
2024-02-09,2400.811279296875,2402.288759765625
2024-02-12,2362.583740234375,2364.7104704589847
2024-02-13,2370.45703125,2371.576689453125
2024-02-14,2365.9013671875,2364.6601579589847
2024-02-15,2328.41650390625,2327.8948095703126
2024-02-16,2352.135498046875,2350.768961669922
2024-02-19,2364.514892578125,2363.1637517089844
2024-02-20,2379.61767578125,2378.1823291015626
2024-02-21,2382.83642578125,2382.569404296875
2024-02-22,2364.861328125,2364.840062011719
2024-02-23,2371.249267578125,2374.3346899414064
2024-02-26,2380.261474609375,2380.7427587890625
2024-02-27,2381.697265625,2382.239912109375
2024-02-28,2397.8896484375,2396.984283081055
2024-02-29,2387.7880859375,2387.1756616210937
2024-03-01,2389.57080078125,2389.3548022460936
2024-03-04,2397.840087890625,2397.149849487305
2024-03-05,2374.91357421875,2378.7623095703125
2024-03-06,2377.537841796875,2377.3988745117185
2024-03-07,2397.29541015625,2396.886004272461
2024-03-08,2397.29541015625,2397.353877807617
2024-03-11,2365.0595703125,2366.2233122558596
2024-03-12,2355.20556640625,2356.40858984375
2024-03-13,2371.875622558594,2369.1893278808593
2024-03-14,2371.088293457032,2367.771205566406
2024-03-15,2368.753527832031,2361.505298828125
2024-03-18,2364.4207397460937,2358.196625488281
2024-03-19,2357.8101440429687,2352.948367919922
2024-03-20,2349.6768798828125,2345.7578520507814
2024-03-21,2220.96337890625,2221.106611328125
2024-03-22,2234.481689453125,2234.8907668457036
2024-03-25,2234.481689453125,2234.8269398193365
