Date,Actual,Predicted
2023-10-11,1195.966552734375,1195.598857421875
2023-10-12,1163.3779296875,1165.1089123535157
2023-10-13,1159.9298095703125,1161.3467431640624
2023-10-16,1149.6334228515625,1151.3341589355468
2023-10-17,1162.94091796875,1164.0185766601562
2023-10-18,1152.0618896484375,1151.545137939453
2023-10-19,1137.151611328125,1140.9904614257812
2023-10-20,1137.0059814453125,1134.5179189453127
2023-10-23,1122.04736328125,1122.341057373047
2023-10-24,1122.04736328125,1122.2693813476565
2023-10-25,1162.758740234375,1161.4379187011718
2023-10-26,1157.2463623046874,1153.645244140625
2023-10-27,1088.535888671875,1086.8389091796873
2023-10-30,1094.5582275390625,1095.8321738281247
2023-10-31,1100.6778564453125,1096.5293425292964
2023-11-01,1092.42138671875,1094.9174085693355
2023-11-02,1095.6123046875,1095.4290379638667
2023-11-03,1112.3521728515625,1110.163408203125
2023-11-06,1122.072265625,1120.2526540527347
2023-11-07,1127.7177734375,1129.377315185547
2023-11-08,1118.4395751953125,1115.7165957031254
2023-11-09,1103.56494140625,1107.2849296875
2023-11-10,1117.555908203125,1114.0892949218755
2023-11-13,1110.6832275390625,1110.2481938476562
2023-11-14,1110.6832275390625,1110.2843022460938
2023-11-15,1112.9318786621093,1113.3463710937501
2023-11-16,1115.2951904296874,1116.379728759766
2023-11-17,1117.5626892089845,1117.5852810058598
2023-11-20,1120.9389404296876,1124.654272216797
2023-11-21,1183.583251953125,1183.3224692382812
2023-11-22,1193.156005859375,1193.9179650878907
2023-11-23,1188.4432373046875,1187.561220703125
2023-11-24,1176.661376953125,1177.156200439453
2023-11-27,1176.661376953125,1177.1357690429686
2023-11-28,1181.3741455078125,1180.009744140625
2023-11-29,1199.2432861328125,1197.8465344238282
2023-11-30,1198.40869140625,1196.8674353027343
2023-12-01,1198.261474609375,1197.1913793945312
2023-12-04,1201.30517578125,1198.7858264160157
2023-12-05,1198.0650634765625,1197.0651049804687
2023-12-06,1203.1705322265625,1198.632353515625
2023-12-07,1201.0596923828125,1198.5264758300782
2023-12-08,1203.366943359375,1199.7234680175782
2023-12-11,1210.485107421875,1214.1535961914062
2023-12-12,1203.85791015625,1200.0532397460938
2023-12-13,1194.3341064453125,1193.9701904296876
2023-12-14,1196.219268798828,1198.6724487304687
2023-12-15,1201.13818359375,1202.729755859375
2023-12-18,1205.0605529785155,1206.4154956054688
2023-12-19,1258.250732421875,1257.7530261230468
2023-12-20,1224.47607421875,1225.0108520507813
2023-12-21,1227.22509765625,1222.4494366455078
2023-12-22,1251.328857421875,1252.2198303222656
2023-12-25,1251.328857421875,1251.8724462890625
2023-12-26,1257.85791015625,1257.1110217285157
2023-12-27,1256.9251708984375,1255.7721520996095
2023-12-28,1262.76708984375,1262.268797607422
2023-12-29,1249.46337890625,1250.2185913085937
2024-01-01,1274.499755859375,1274.1445385742188
2024-01-02,1254.6669921875,1254.191845703125
2024-01-03,1221.57958984375,1225.007866821289
2024-01-04,1225.21240234375,1225.638953857422
2024-01-05,1226.341552734375,1226.853558959961
2024-01-08,1204.7415771484375,1200.4590759277344
2024-01-09,1212.1541748046875,1218.0025329589844
2024-01-10,1218.585205078125,1219.402777709961
2024-01-11,1225.801513671875,1224.9314044189452
2024-01-12,1283.7779541015625,1282.8077172851563
2024-01-15,1245.0378173828126,1244.3875708007813
2024-01-16,1295.559814453125,1295.5178253784177
2024-01-17,1302.5797119140625,1301.8249350585936
2024-01-18,1302.5797119140625,1301.8340228271481
2024-01-19,1260.2314575195312,1262.877696533203
2024-01-22,1265.8867309570312,1265.7320776367187
2024-01-23,1340.7725830078125,1339.6722116699218
2024-01-24,1382.15625,1379.5167077636718
2024-01-25,1297.572509765625,1297.4588840332026
2024-01-26,1297.572509765625,1298.0489321289062
2024-01-29,1290.69970703125,1288.9671641845698
2024-01-30,1293.743408203125,1294.0145842895506
2024-01-31,1309.20703125,1309.0079113769532
2024-02-01,1288.097900390625,1287.6120789184567
2024-02-02,1314.3125,1313.3023742675782
2024-02-05,1307.685302734375,1308.4448693847655
2024-02-06,1325.7998046875,1324.309529663086
2024-02-07,1295.216064453125,1295.1873276977537
2024-02-08,1285.93798828125,1286.5603938598633
2024-02-09,1287.901611328125,1287.9651461181638
2024-02-12,1294.1361083984375,1293.917924560547
2024-02-13,1305.132568359375,1305.450821044922
2024-02-14,1269.1978759765625,1267.345234375
2024-02-15,1276.7088623046875,1276.4657263183594
2024-02-16,1279.55615234375,1278.795946044922
2024-02-19,1285.39794921875,1286.3736090698242
2024-02-20,1295.70703125,1295.6960349731442
2024-02-21,1273.6651611328125,1274.2936694335938
2024-02-22,1303.1689453125,1303.466078125
2024-02-23,1297.7689208984375,1297.9270990600587
2024-02-26,1274.2052001953125,1274.4415026855468
2024-02-27,1272.143310546875,1274.1250512695312
2024-02-28,1260.6561279296875,1261.9730139160156
2024-02-29,1253.0469970703125,1252.7849145507812
2024-03-01,1248.5306396484375,1248.689248046875
2024-03-04,1256.8270263671875,1256.1918395996095
2024-03-05,1249.6597900390625,1250.5518341064453
2024-03-06,1248.28515625,1247.6151129150392
2024-03-07,1265.467041015625,1265.01673828125
2024-03-08,1265.467041015625,1265.0323168945313
2024-03-11,1266.203369140625,1265.270565185547
2024-03-12,1268.5106201171875,1267.8494714355468
2024-03-13,1253.5870361328125,1254.032763671875
2024-03-14,1270.3760986328125,1267.8551696777345
2024-03-15,1258.545166015625,1258.7986303710939
2024-03-18,1248.9234619140625,1248.9215197753906
2024-03-19,1229.58154296875,1228.747303466797
