Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_standardized,Close_log,Day_of_Week,Month,Quarter,Year,Close_Lagged_1,Close_Lagged_2,Close_Lagged_3,Close_Lagged_4,Close_Lagged_5,SMA_30,SMA_60,RSI,MACD,Signal_Line
2018-04-27,267.3006810633925,282.3523941788217,267.20387968670934,278.8193359375,974926.0,0.0,0.0,-1.2853670862256037,5.6341441661249245,4,4,2,2018,269.8173828125,269.9625549316406,275.0927734375,270.5917053222656,272.91485595703125,275.04942461649574,290.8972672398885,57.03697216505378,-2.7546545863150413,-3.567224236074287
2018-04-30,279.7389297208476,281.5780378837496,273.35042230372466,275.3347473144531,382397.0,0.0,0.0,-1.2967055878753122,5.621612983394214,0,4,2,2018,278.8193359375,269.8173828125,269.9625549316406,275.0927734375,270.5917053222656,274.7090274810791,290.13580992380776,45.47308366828272,-2.5119709640453607,-3.356173581668502
2018-05-01,279.7389297208476,281.5780378837496,273.35042230372466,275.3347473144531,382397.0,0.0,0.0,-1.2967055878753122,5.621612983394214,1,5,2,2018,275.3347473144531,278.8193359375,269.8173828125,269.9625549316406,275.0927734375,274.47349281311034,289.374352607727,50.39464844902413,-2.293207773218171,-3.143580419978436
2018-05-02,275.52835401292253,275.52835401292253,266.6715726618453,268.2203063964844,561434.0,0.0,0.0,-1.319855264583666,5.595530027304908,2,5,2,2018,275.3347473144531,275.3347473144531,278.8193359375,269.8173828125,269.9625549316406,274.0701796213786,288.4846416091919,40.52688269589761,-2.6632124374140744,-3.047506823465564
2018-05-03,269.0914368625069,274.3668023866373,268.89783408488074,272.7696533203125,650192.0,0.0,0.0,-1.3050521462873608,5.612287071504634,3,5,2,2018,268.2203063964844,275.3347473144531,275.3347473144531,278.8193359375,269.8173828125,274.0137159983317,287.6336487706502,43.881450330922235,-2.559841266579383,-2.9499737120883283
2018-05-04,271.5112957112392,276.351069253329,269.5270003748357,273.8343811035156,526569.0,0.0,0.0,-1.3015876289419006,5.616168665708202,4,5,2,2018,272.7696533203125,268.2203063964844,275.3347473144531,275.3347473144531,278.8193359375,273.4558503977458,286.9262345250447,45.72239631159627,-2.3647449276177213,-2.832927955194207
2018-05-07,275.2379689481237,282.6428176815097,273.8828380589482,280.1261291503906,764190.0,0.0,0.0,-1.281114912266764,5.638803426813488,0,5,2,2018,273.8343811035156,272.7696533203125,268.2203063964844,275.3347473144531,275.3347473144531,273.7123577626546,286.3357824579874,47.901469670251906,-1.68303718335153,-2.6029498008256717
2018-05-08,292.8063318473057,304.42178963959554,290.3864448072453,276.73584747314453,3804589.0,0.0,0.0,-1.292146548579925,5.626670473029432,1,5,2,2018,280.1261291503906,273.8343811035156,272.7696533203125,268.2203063964844,275.3347473144531,273.77680809020995,285.6888256963094,46.21277685756148,-1.400205583796776,-2.3624009574198928
2018-05-09,296.96853747033066,299.7756301793876,294.6454517280404,277.8489990234375,893093.0,0.0,0.0,-1.2885244651563912,5.630670413169581,2,5,2,2018,276.73584747314453,280.1261291503906,273.8343811035156,272.7696533203125,268.2203063964844,274.055822168986,285.18060934702555,48.15254324154735,-1.0738587016858219,-2.1046925062730786
2018-05-10,299.2916216489158,302.969837896987,296.00055185474866,278.843571472168,1141372.0,0.0,0.0,-1.285288226228186,5.63423077373948,3,5,2,2018,277.8489990234375,276.73584747314453,280.1261291503906,273.8343811035156,272.7696533203125,274.3679886627197,284.52683643341066,56.036845011351865,-0.7265970038177443,-1.8290734057820117
2018-05-11,297.1620866920898,302.00186009098377,297.1620866920898,279.9518783569336,554143.0,0.0,0.0,-1.281681906860045,5.638183403269738,4,5,2,2018,278.843571472168,277.8489990234375,276.73584747314453,280.1261291503906,273.8343811035156,274.7170987192789,284.0141427230835,59.77266210678998,-0.3578336200500871,-1.534825448635627
2018-05-14,300.4531400264467,301.130720148209,295.46817911233086,300.017578125,362302.0,0.0,0.0,-1.21639013370266,5.707168662130094,0,5,2,2018,279.9518783569336,278.843571472168,277.8489990234375,276.73584747314453,280.1261291503906,275.3763565572103,283.85604386647543,69.63999341114118,1.5358440395572188,-0.9206915509970579
2018-05-15,299.7755701389079,307.1804173829717,295.7101487494134,298.1300354003906,877639.0,0.0,0.0,-1.222532008285883,5.700878379853306,1,5,2,2018,300.017578125,279.9518783569336,278.843571472168,277.8489990234375,276.73584747314453,276.61533767700195,283.70036352793375,73.39043639634133,2.8514189225905966,-0.16626945627952705
2018-05-16,295.2262142415982,295.2262142415982,286.0790295582581,288.3537292480469,764405.0,0.0,0.0,-1.254343127309592,5.667649916300529,2,5,2,2018,298.1300354003906,300.017578125,279.9518783569336,278.843571472168,277.8489990234375,277.5655451965332,283.35512681325275,63.27007353170895,3.0697689079985366,0.4809382165760857
2018-05-17,288.6925158242258,290.047646620922,285.11107128900966,286.4178161621094,464701.0,0.0,0.0,-1.2606423941938998,5.660936962545109,3,5,2,2018,288.3537292480469,298.1300354003906,300.017578125,279.9518783569336,278.843571472168,278.1463181050619,282.9985965601603,56.0519978833916,3.0514258993060253,0.9950357531220737
2018-05-18,286.41783047671976,286.41783047671976,275.77032726539454,277.2222595214844,546452.0,0.0,0.0,-1.2905638125932255,5.628420288946604,4,5,2,2018,286.4178161621094,288.3537292480469,298.1300354003906,300.017578125,279.9518783569336,278.3334559631348,282.4355696233114,51.377995692454526,2.268731833992206,1.2497749692961002
2018-05-21,278.28700610699264,283.6107575281699,278.28700610699264,280.3681030273437,416007.0,0.0,0.0,-1.2803275535567935,5.639663787251114,0,5,2,2018,277.2222595214844,286.4178161621094,288.3537292480469,298.1300354003906,300.017578125,278.63029535929365,281.8330183537801,53.51327246441576,1.8806059732137896,1.375941170079638
2018-05-22,279.3033489278443,284.38511168613377,277.80303078648967,281.432861328125,313391.0,0.0,0.0,-1.276862936910197,5.64344086332563,1,5,2,2018,280.3681030273437,277.2222595214844,286.4178161621094,288.3537292480469,298.1300354003906,278.68998672485355,281.36678656260176,60.0730393008813,1.6400253373589635,1.4287580035355032
2018-05-23,280.12610330712573,288.6441229697198,278.77097254296893,282.3524169921875,408065.0,0.0,0.0,-1.2738707950702644,5.646691412638141,2,5,2,2018,281.432861328125,280.3681030273437,277.2222595214844,286.4178161621094,288.3537292480469,278.93520360310873,281.0150969060262,57.7337776447799,1.5062013555476597,1.4442466739379345
2018-05-24,283.6107406680377,289.41846914588155,282.1588085485768,287.7245483398437,499677.0,0.0,0.0,-1.2563904188373332,5.66547311367347,3,5,2,2018,282.3524169921875,281.432861328125,280.3681030273437,277.2222595214844,286.4178161621094,279.28366653442384,280.58903540293375,60.481346596031514,1.8127349091490146,1.5179443209801504
2018-05-25,287.9665203641277,291.2575604032197,285.54663363837875,286.9985656738281,557011.0,0.0,0.0,-1.2587526935695166,5.662955499824336,4,5,2,2018,287.7245483398437,282.3524169921875,281.432861328125,280.3681030273437,277.2222595214844,279.5514664204915,280.1747100448609,55.66139575996162,1.9743254303893423,1.6092205428619888
2018-05-28,284.7239162479259,292.5643565242452,283.6591599936735,289.6604919433594,643575.0,0.0,0.0,-1.2500910526518887,5.672155891701097,0,5,2,2018,286.9985656738281,287.7245483398437,282.3524169921875,281.432861328125,280.3681030273437,279.93380894978844,280.077914390564,60.776419724766875,2.2907756502366396,1.745531564336919
2018-05-29,289.41848814035336,290.3864429501873,279.7389400420138,281.3360595703125,578232.0,0.0,0.0,-1.2771779201146396,5.643098062030521,1,5,2,2018,289.6604919433594,286.9985656738281,287.7245483398437,282.3524169921875,281.432861328125,279.89993036905923,279.84237819671637,52.595368385858215,1.8485437454268094,1.766134000554897
2018-05-30,277.803051907592,278.8678081886848,274.0280337652076,276.109130859375,603457.0,0.0,0.0,-1.2941858215409072,5.624411402821443,2,5,2,2018,281.3360595703125,289.6604919433594,286.9985656738281,287.7245483398437,282.3524169921875,279.7402196756999,279.32589412689214,48.085417476988205,1.064036757647159,1.6257145519733496
2018-05-31,274.9959742431626,278.674190796452,270.39818878173224,276.4479064941406,798597.0,0.0,0.0,-1.2930834796264945,5.62563319121863,3,5,2,2018,276.109130859375,281.3360595703125,289.6604919433594,286.9985656738281,287.7245483398437,279.6256790669759,279.14278967539474,47.51988621274063,0.46429359269973247,1.3934303601186262
2018-06-01,281.723249119663,290.1928541125707,277.9482310878946,280.2229309082031,1317080.0,0.0,0.0,-1.280799929062321,5.639147703226997,4,6,2,2018,276.4479064941406,276.109130859375,281.3360595703125,289.6604919433594,286.9985656738281,279.86928156534833,279.09116563161217,31.789879969432235,0.29025980028495724,1.1727962481518925
2018-06-04,284.33670241374625,284.5786910966516,276.3994617985982,277.0286560058594,2639363.0,0.0,0.0,-1.2911937790021109,5.6277241875361135,0,6,2,2018,280.2229309082031,276.4479064941406,276.109130859375,281.3360595703125,289.6604919433594,280.0838465881348,278.8572428003947,31.043512875990615,-0.10421321789402782,0.9173943549427085
2018-06-05,278.2869805279788,280.2228899577387,274.02798569043387,274.8023376464844,341788.0,0.0,0.0,-1.2984379954997467,5.619684441198859,1,6,2,2018,277.0286560058594,280.2229309082031,276.4479064941406,276.109130859375,281.3360595703125,280.0741653951009,278.5329772567749,35.91548759693066,-0.5896837056152435,0.6159787428311181
2018-06-06,275.6735212273286,277.46424355425137,272.1889075031552,274.70556640625,589891.0,0.0,0.0,-1.298752879403053,5.619333507910265,2,6,2,2018,274.8023376464844,277.0286560058594,280.2229309082031,276.4479064941406,276.109130859375,280.2322657775879,278.16918738047286,37.34311092994676,-0.9710376772034124,0.298575458824212
2018-06-07,278.19017738633534,283.3203550664814,277.6093986531597,281.6264343261719,618631.0,0.0,0.0,-1.276233069802448,5.64412600560046,3,6,2,2018,274.70556640625,274.8023376464844,277.0286560058594,280.2229309082031,276.4479064941406,280.62590082804365,277.99979549407965,55.0054731537991,-0.7066612946396731,0.09752810813143498
2018-06-08,282.6427846936609,282.6427846936609,276.3510788700006,279.06134033203125,552714.0,0.0,0.0,-1.2845796282144968,5.635008651790746,4,6,2,2018,281.6264343261719,274.70556640625,274.8023376464844,277.0286560058594,280.2229309082031,280.63396764119466,277.84169612884523,48.49495835653114,-0.6960985637346653,-0.061197226241785085
2018-06-11,275.8671142790976,280.80368960044024,274.1248074784524,277.56103515625,813476.0,0.0,0.0,-1.2894614706788126,5.629637192110942,0,6,2,2018,279.06134033203125,281.6264343261719,274.70556640625,274.8023376464844,277.0286560058594,280.70817723592126,277.7086023585002,45.58498466061256,-0.7995726368630471,-0.2088723083660375
2018-06-12,277.9481815338537,279.88409090137435,276.2058749189381,278.04498291015625,914078.0,0.0,0.0,-1.287886753258872,5.631372997894017,1,6,2,2018,277.56103515625,279.06134033203125,281.6264343261719,274.70556640625,274.8023376464844,280.79851842244466,277.63600561777747,45.038979297739964,-0.8329246096649285,-0.3336827686258157
